CODE,TYPE,HEADING,LABELS,STOCKS,COST,DETAILS
 B4127100,rings,"Maillon PanthÃ¨re ring, 3 half diamond-paved rows","yellow gold, diamonds",25,7850.00 INR,"Maillon PanthÃ¨re ring, 18K yellow gold, set with 35 brilliant-cut diamonds totaling 0.53 carat."
 N4722400,rings,PanthÃ¨re de Cartier ring,"white gold, emeralds, onyx, diamonds",25,78500.00 INR,"PanthÃ¨re de Cartier ring, 18K white gold, set with 545 brilliant-cut diamonds (1.47 carats), emeralds and onyx."
 H4333700,rings,Reflection de Cartier ring,"white gold, diamonds",25,80000.00 INR,"Large model Reflection de Cartier ring, 18K white gold, set with 36 baguette-cut diamonds totaling 4.35 carats, 3 princess-cut diamonds totaling 0.51 carats and 2 troidia-cut diamonds totaling 0.45 carats."
 B4057600,rings,1895 wedding band,"yellow gold, diamond",25,810.00 INR,"1895 wedding band, width 2.6 mm, 18K yellow gold, set with a brilliant-cut diamond of 0.01 carat."
 B4088200,rings,1895 wedding band,"pink gold, diamond",25,810.00 INR,"1895 wedding band, width 2.6 mm, 18K pink gold, set with a brilliant-cut diamond of 0.01 carat."
 B4216800,rings,"Ã‰tincelle de Cartier ring, small model","white gold, diamonds",25,8150.00 INR,"Ã‰tincelle de Cartier ring, small model, 18K white gold, set with 55 brilliant-cut diamonds totaling 1.00 carat."
 B4127200,rings,"Maillon PanthÃ¨re ring, 3 half diamond-paved rows","white gold, diamonds",25,8400.00 INR,"Maillon PanthÃ¨re ring, 18K white gold, set with 35 brilliant-cut diamonds totaling 0.53 carat."
 N4765400,rings,Clash de Cartier ring Diamonds,"pink gold, diamonds",25,8500.00 INR,"Clash de Cartier ring, 18K pink gold, set with 18 brilliant-cut diamonds totaling 0.53 carats. Width: 6.8mm"
 B4087100,rings,Ã‰tincelle de Cartier wedding band,"platinum, diamonds",25,8550.00 INR,"Ã‰tincelle de Cartier wedding band, 950â€° platinum, set with 29 brilliant-cut diamonds totaling 0.94 carats. Width: 2.6 mm."
 H4317100,rings,Les Oiseaux LibÃ©rÃ©s ring,"yellow gold, emeralds, onyx, diamonds",25,85500.00 INR,"Les Oiseaux LibÃ©rÃ©s ring, 18K yellow gold, emeralds, onyx, set with 175 brilliant-cut diamonds totaling 4.10 carats."
 N4766000,rings,Etincelle de Cartier ring,"pink gold, diamonds",25,8750.00 INR,"Ã‰tincelle de Cartier ring, 18K pink gold, set with 52 brilliant-cut pavÃ© diamonds totaling 0.81 carats."
 B4094000,rings,Cartier d'Amour wedding band,platinum,25,880.00 INR,"Cartier d'Amour wedding band, platinum 950â€°. Width: 1.8 mm"
 B4087600,rings,"Love ring, diamond-paved","pink gold, diamonds",25,8800.00 INR,"Love ring, 18K pink gold, set with 66 brilliant-cut diamonds totaling 0.70 carat. Width: 6.5 mm."
 B4078000,rings,1895 wedding band,platinum,25,890.00 INR,"1895 wedding band, width 2 mm, platinum 950â€°."
 B4216600,rings,Ã‰tincelle de Cartier wedding band,"pink gold, diamonds",25,8950.00 INR,"Etincelle de Cartier wedding band, 18K pink gold, set with 14 brilliant-cut diamonds totaling 0.94 carat. Width 3.5 mm."
 B4209900,rings,Trinity wedding band,"white gold, pink gold, yellow gold",25,920.00 INR,"Trinity wedding band, width 2.5 mm, 18K pink gold, 18K white gold, 18K yellow gold."
 N4753200,rings,Etincelle de Cartier ring,"white gold, diamonds",25,9350.00 INR,"Ã‰tincelle de Cartier ring, 18K white gold, set with 52 brilliant-cut diamonds totaling 0.81 carat."
 N4722700,rings,Cartier DestinÃ©e wedding band,"pink gold, diamonds",25,9650.00 INR,"Cartier DestinÃ©e wedding band, width 3.27 mm, 18K pink gold, set with 22 brilliant-cut diamonds totaling 1.34 carats."
 B4086100,rings,"Trinity ring, small model","white gold, yellow gold, pink gold",25,970.00 INR,"Trinity ring, small model, 18K white gold, 18K rose gold, 18K yellow gold. Width: 2.8mm."
 B4031200,rings,1895 wedding band,yellow gold,25,970.00 INR,"1895 wedding band, width 3.5 mm, 18K yellow gold."
 B4096600,rings,1895 wedding band,pink gold,25,970.00 INR,"1895 wedding band, width 3.5 mm, 18K pink gold."
 B4091200,rings,Etincelle de Cartier ring,"pink gold, diamonds",25,9800.00 INR,"Ã‰tincelle de Cartier ring, 18K pink gold, set with 69 brilliant-cut diamonds totaling 1.33 carats."
 B4192300,rings,Etincelle de Cartier ring,"yellow gold, diamonds",25,9800.00 INR,"Ã‰tincelle de Cartier ring, 18K yellow gold, set with 69 brilliant-cut diamonds totaling 1.33 carats."
 N4765800,rings,PanthÃ¨re de Cartier ring,"yellow gold, emeralds, onyx, diamonds",25,9850.00 INR,"PanthÃ¨re de Cartier ring, 18K yellow gold, onyx, set with 2 emeralds and 72 brilliant-cut diamonds totaling 0.68 carat."
 B4216500,rings,Ã‰tincelle de Cartier wedding band,"platinum, diamonds",25,9850.00 INR,"Etincelle de Cartier wedding band, 950â€° platinum, set with 14 brilliant-cut diamonds totaling 0.94 carats. Width 3.5 mm."
 B4210900,rings,Juste un Clou ring,"pink gold, diamonds",25,9850.00 INR,"Juste un Clou ring, 18K pink gold, set with 77 brilliant-cut diamonds totaling 0.59 carats."
 B4211900,rings,Juste un Clou ring,"yellow gold, diamonds",25,9850.00 INR,"Juste un Clou ring, 18K yellow gold, set with 77 brilliant-cut diamonds totaling 0.59 carats. Width: 1.8mm."
